date,stream,count,fork_length,weight,species,lifestage
1992-11-05T00:00:00Z,deer creek,2,94,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,3,93,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,92,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,91,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,4,90,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,5,84,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,83,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,5,82,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,9,81,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,62,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,8,79,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,108,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,5,78,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,6,76,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,9,74,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,73,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,9,72,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,5,71,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,5,70,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,4,69,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,68,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,66,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,10,80,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,3,78,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,3,77,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,75,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,74,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,73,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,88,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,87,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,86,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,83,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,81,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,97,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,79,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,100,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,3,72,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,71,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,69,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,66,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,89,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,88,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,87,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,4,86,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,111,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,11,75,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,80,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,108,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,6,77,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,90,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,2,93,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,94,NA,chinook salmon,NA
1992-11-05T00:00:00Z,deer creek,1,95,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,76,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,2,72,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,75,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,70,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,84,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,78,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,77,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,79,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,3,80,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,2,81,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,82,NA,chinook salmon,NA
1992-11-09T00:00:00Z,deer creek,1,92,NA,chinook salmon,NA
1992-11-13T00:00:00Z,deer creek,1,97,NA,chinook salmon,NA
1992-11-13T00:00:00Z,deer creek,1,75,NA,chinook salmon,NA
1992-11-13T00:00:00Z,deer creek,1,71,NA,chinook salmon,NA
1992-11-16T00:00:00Z,deer creek,1,70,NA,chinook salmon,NA
1992-11-16T00:00:00Z,deer creek,1,75,NA,chinook salmon,NA
1992-11-16T00:00:00Z,deer creek,2,81,NA,chinook salmon,NA
1992-11-16T00:00:00Z,deer creek,1,87,NA,chinook salmon,NA
1992-11-16T00:00:00Z,deer creek,1,83,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,1,67,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,1,87,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,2,81,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,1,79,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,1,77,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,1,83,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,2,75,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,1,70,NA,chinook salmon,NA
1992-11-17T00:00:00Z,deer creek,1,71,NA,chinook salmon,NA
1992-11-29T00:00:00Z,deer creek,1,67,NA,chinook salmon,NA
1992-11-29T00:00:00Z,deer creek,1,99,NA,chinook salmon,NA
1992-11-29T00:00:00Z,deer creek,1,79,NA,chinook salmon,NA
1992-11-29T00:00:00Z,deer creek,1,77,NA,chinook salmon,NA
1992-12-05T00:00:00Z,deer creek,1,95,NA,chinook salmon,NA
1992-12-05T00:00:00Z,deer creek,1,86,NA,chinook salmon,NA
1994-10-03T00:00:00Z,deer creek,1,113,NA,chinook salmon,NA
1994-10-06T00:00:00Z,deer creek,1,91,NA,chinook salmon,NA
1994-10-06T00:00:00Z,deer creek,1,107,NA,chinook salmon,NA
1994-10-07T00:00:00Z,deer creek,1,131,NA,chinook salmon,NA
1994-10-08T00:00:00Z,deer creek,1,82,NA,chinook salmon,NA
1994-10-08T00:00:00Z,deer creek,1,133,NA,chinook salmon,NA
1994-10-09T00:00:00Z,deer creek,1,109,NA,chinook salmon,NA
1994-10-10T00:00:00Z,deer creek,1,108,NA,chinook salmon,NA
1994-10-11T00:00:00Z,deer creek,1,101,NA,chinook salmon,NA
1994-10-13T00:00:00Z,deer creek,1,95,NA,chinook salmon,NA
1994-10-13T00:00:00Z,deer creek,1,99,NA,chinook salmon,NA
1994-10-15T00:00:00Z,deer creek,1,112,16,chinook salmon,NA
1994-10-15T00:00:00Z,deer creek,1,125,23,chinook salmon,NA
1994-10-15T00:00:00Z,deer creek,1,127,23,chinook salmon,NA
1994-10-16T00:00:00Z,deer creek,1,94,9,chinook salmon,NA
1994-10-18T00:00:00Z,deer creek,1,129,NA,chinook salmon,NA
1994-10-22T00:00:00Z,deer creek,1,129,NA,chinook salmon,NA
1994-10-28T00:00:00Z,deer creek,1,109,NA,chinook salmon,NA
1994-10-28T00:00:00Z,deer creek,1,105,NA,chinook salmon,NA
1994-10-31T00:00:00Z,deer creek,1,110,9.5,chinook salmon,NA
1994-11-02T00:00:00Z,deer creek,1,122,NA,chinook salmon,NA
1994-11-03T00:00:00Z,deer creek,1,99,NA,chinook salmon,NA
1994-11-04T00:00:00Z,deer creek,1,126,NA,chinook salmon,NA
1994-11-04T00:00:00Z,deer creek,1,81,NA,chinook salmon,NA
1994-11-04T00:00:00Z,deer creek,1,77,NA,chinook salmon,NA
1994-11-05T00:00:00Z,deer creek,1,89,NA,chinook salmon,NA
1994-11-05T00:00:00Z,deer creek,1,78,NA,chinook salmon,NA
1994-11-05T00:00:00Z,deer creek,1,77,NA,chinook salmon,NA
1994-11-05T00:00:00Z,deer creek,1,74,NA,chinook salmon,NA
1994-11-06T00:00:00Z,deer creek,1,97,NA,chinook salmon,NA
1994-11-06T00:00:00Z,deer creek,1,96,NA,chinook salmon,NA
1994-11-06T00:00:00Z,deer creek,1,92,NA,chinook salmon,NA
1994-11-06T00:00:00Z,deer creek,1,87,NA,chinook salmon,NA
1994-11-06T00:00:00Z,deer creek,1,81,NA,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,108,15,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,113,15,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,82,5,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,101,11,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,81,5.5,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,73,NA,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,85,NA,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,70,4,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,78,4.5,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,80,6,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,84,5.5,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,90,8.5,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,92,8,chinook salmon,NA
1994-11-07T00:00:00Z,deer creek,1,92,9,chinook salmon,NA
1994-11-08T00:00:00Z,deer creek,1,86,NA,chinook salmon,NA
1994-11-08T00:00:00Z,deer creek,1,88,NA,chinook salmon,NA
1994-11-09T00:00:00Z,deer creek,1,76,4,chinook salmon,NA
1994-11-09T00:00:00Z,deer creek,1,86,7.5,chinook salmon,NA
1994-11-09T00:00:00Z,deer creek,1,89,7,chinook salmon,NA
1994-11-09T00:00:00Z,deer creek,1,101,11.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,112,15,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,120,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,109,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,4,110,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,110,14.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,110,15,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,3,108,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,112,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,107,14,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,113,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,114,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,115,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,115,16,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,116,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,111,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,104,13,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,101,12.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,101,10,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,3,102,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,4,103,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,103,12,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,108,13,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,7,104,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,121,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,104,12,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,4,105,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,105,14,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,105,12.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,4,106,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,107,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,103,13.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,117,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,101,10.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,122,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,126,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,127,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,135,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,21,NA,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,78,5.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,86,8.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,13,86,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,85,5.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,85,6.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,16,85,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,84,6,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,12,84,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,7,83,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,82,5.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,81,6,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,9,80,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,79,5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,8,79,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,12,87,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,5,75,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,7,101,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,3,72,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,67,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,73,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,73,4,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,78,5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,74,4,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,78,4.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,75,4,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,76,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,6,77,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,5,78,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,8,82,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,5,74,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,9,88,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,9,96,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,96,10,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,8,97,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,97,10,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,3,98,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,98,10,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,95,8.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,4,99,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,99,11.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,99,11,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,5,81,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,6,100,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,100,11,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,100,10.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,100,12,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,98,11,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,17,90,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,99,10.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,95,10,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,3,88,7.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,10,89,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,89,8,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,11,91,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,10,92,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,92,10,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,2,94,8.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,93,8.5,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,9,94,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,10,93,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,13,95,NA,chinook salmon,NA
1994-11-10T00:00:00Z,deer creek,1,89,8.5,chinook salmon,NA
1994-11-11T00:00:00Z,deer creek,1,85,6,chinook salmon,NA
1994-11-11T00:00:00Z,deer creek,1,105,12,chinook salmon,NA
1994-11-11T00:00:00Z,deer creek,1,99,10.5,chinook salmon,NA
